DATE,PRICE-AVG,PRICE-MAX,PRICE-MIN,TEMP,PREC
2018-01-01,0.17626487370210378,0.10404495632337396,0.08209440246973757,0.21790123456790117,0.034999999999999996
2018-01-02,0.19391301523370263,0.13342235575585604,0.0804695751076448,0.20802469135802465,0.007000000000000001
2018-01-03,0.19169346369138499,0.15951705335781452,0.0760825412299943,0.24938271604938272,0.11699999999999999
2018-01-04,0.19396715063717376,0.13386746786846937,0.07864164432529044,0.22129629629629627,0.15900000000000003
2018-01-05,0.18671300657203807,0.14555166082457022,0.0796165407425461,0.22098765432098766,0.06999999999999999
2018-01-08,0.2026288151925597,0.16641629110332168,0.08107888536842958,0.21697530864197528,0.0
2018-01-09,0.20598521020777175,0.1735380849051355,0.08396295393614428,0.22932098765432096,0.004
2018-01-10,0.20982882385422427,0.16886440772269518,0.08412543667235353,0.24166666666666664,0.001
2018-01-11,0.20181678414049228,0.1801034885661826,0.08002274758306929,0.2938271604938271,0.123
2018-01-12,0.21107393813406103,0.14627496800756692,0.08189129904947598,0.26172839506172835,0.049
2018-01-13,0.20571453319041597,0.18305235631224617,0.07786985132829635,0.2466049382716049,0.06
2018-01-14,0.19661978540726072,0.16474712068102154,0.07774798927613943,0.22901234567901235,0.033
2018-01-15,0.21399724992150376,0.1525621765982307,0.08737509139653912,0.19907407407407407,0.003
2018-01-16,0.2109656673271187,0.19167640349413012,0.08111950605248192,0.21450617283950613,0.036
2018-01-17,0.20598521020777175,0.18572302898792636,0.08103826468437728,0.21018518518518514,0.043000000000000003
2018-01-18,0.2069055120667815,0.14154565181104994,0.08526281582581849,0.2046296296296296,0.19
2018-01-19,0.2096664176438108,0.19195459856451347,0.08721260866032984,0.17746913580246915,0.11299999999999999
2018-01-20,0.19748595186279935,0.14939075279586048,0.08534405719392316,0.17222222222222222,0.006
2018-01-21,0.18979872456989433,0.14939075279586048,0.07433585181574456,0.24228395061728392,0.10700000000000001
2018-01-22,0.20885438659174335,0.17899070828464922,0.08883743602242261,0.24351851851851847,0.16100000000000003
2018-01-23,0.20474009592793505,0.17926890335503257,0.08489722966934762,0.2067901234567901,0.095
2018-01-24,0.19093556804278872,0.15022533800701054,0.08526281582581849,0.1984567901234568,0.031
2018-01-25,0.19158519288444265,0.15156067434485063,0.085709643350394,0.21759259259259256,0.1
2018-01-26,0.20917919901257034,0.1797696544817226,0.0898935738077829,0.19259259259259254,0.07800000000000001
2018-01-27,0.1967821916176742,0.17893506927057254,0.08445040214477212,0.17407407407407405,0.008
2018-01-28,0.19391301523370263,0.16675012518778168,0.07953529937444145,0.1669753086419753,0.0
2018-01-29,0.20988295925769546,0.17287041673621545,0.08830936712974244,0.1657407407407407,0.0
2018-01-30,0.20728445989107966,0.17848995715795918,0.08388171256803964,0.18364197530864196,0.0
2018-01-31,0.20252054438561742,0.1413787347688199,0.08331302299130716,0.21203703703703702,0.003
2018-02-01,0.1978107642836263,0.1547877371612975,0.0858721260866033,0.21080246913580247,0.003
2018-02-02,0.187362631413692,0.1490012796973238,0.08428791940856284,0.237037037037037,0.008
2018-02-03,0.18790398544840364,0.11762087575808158,0.08436916077666748,0.3305555555555555,0.005000000000000001
2018-02-04,0.1556934203830622,0.03566460802314583,0.0858721260866033,0.3385802469135802,0.07600000000000001
2018-02-05,0.20679724125983923,0.1926222667334335,0.08534405719392316,0.3450617283950617,0.019000000000000003
2018-02-06,0.2115070213618303,0.1867801702553831,0.0854659192460801,0.2879629629629629,0.009
2018-02-07,0.19061075562196175,0.1550659322316809,0.08510033308960921,0.33302469135802465,0.015
2018-02-08,0.18470999664360505,0.15495465420352755,0.07502640344463402,0.34382716049382717,0.032
2018-02-09,0.19185586990179845,0.15367495687976412,0.08363798846372572,0.35987654320987655,0.001
2018-02-10,0.19012353699072126,0.15278473265453738,0.08408481598830123,0.34567901234567894,0.047
2018-02-11,0.1465445371964358,0.03549769098091582,0.0829474368348363,0.3811728395061727,0.06899999999999999
2018-02-12,0.187687443834519,0.14805541645802037,0.08254122999431313,0.31759259259259254,0.018
2018-02-13,0.2103701778889359,0.1478328604017137,0.08591274677065561,0.27777777777777773,0.025
2018-02-14,0.17334156191466105,0.11873365603961498,0.07864164432529044,0.28765432098765426,0.08800000000000001
2018-02-15,0.1650047097801021,0.03555332999499249,0.06669916321390851,0.3469135802469135,0.057999999999999996
2018-02-16,0.17030997932027594,0.11828854392700164,0.07380778292306442,0.3709876543209876,0.053000000000000005
2018-02-17,0.17967540412078697,0.1655817058921716,0.07169550735234381,0.34660493827160493,0.11699999999999999
2018-02-18,0.17832201903400793,0.14449451955711345,0.07965716142659843,0.3364197530864197,0.048
2018-02-19,0.187037818992865,0.14449451955711345,0.083800471199935,0.2842592592592592,0.002
2018-02-20,0.19954309719470348,0.20185834307016082,0.08538467787797546,0.30709876543209874,0.042
2018-02-21,0.1935340674094045,0.1194569632226117,0.0850597124055569,0.3265432098765432,0.037
2018-02-22,0.203061898420329,0.18605686307238636,0.08445040214477212,0.30154320987654315,0.08100000000000002
2018-02-23,0.19797317049403979,0.1990763923663273,0.08392233325209195,0.31481481481481477,0.043000000000000003
2018-02-24,0.20625588722512758,0.1493351137817838,0.08542529856202777,0.3046296296296296,0.07800000000000001
2018-02-25,0.17805134201665213,0.14182384688143326,0.0841660573564059,0.28086419753086417,0.11399999999999999
2018-02-26,0.18741676681716316,0.1279697323763423,0.08396295393614428,0.26018518518518513,0.097
2018-02-27,0.19965136800164582,0.17420575307405553,0.0752295068648956,0.3027777777777777,0.034999999999999996
